EURUSD.Close	EURUSD.High	EURUSD.Low	USDJPY.Close	USDJPY.High	USDJPY.Low	USDCHF.Close	USDCHF.High	USDCHF.Low	GBPUSD.Close	GBPUSD.High	GBPUSD.Low	USDCAD.Close	USDCAD.High	USDCAD.Low	EURGBP.Close	EURGBP.High	EURGBP.Low	EURJPY.Close	EURJPY.High	EURJPY.Low	EURCHF.Close	EURCHF.High	EURCHF.Low	AUDUSD.Close	AUDUSD.High	AUDUSD.Low	GBPJPY.Close	GBPJPY.High	GBPJPY.Low	CHFJPY.Close	CHFJPY.High	CHFJPY.Low	GBPCHF.Close	GBPCHF.High	GBPCHF.Low	NZDUSD.Close	NZDUSD.High	NZDUSD.Low
2010-01-15	1.4375	1.4511	1.4338	90.81	91.32	90.61	1.0269	1.0287	1.0178	1.6258	1.6353	1.6212	1.0295	1.0314	1.0233	0.884	0.888	0.881	130.55	132.4	130.32	1.4764	1.4784	1.4741	0.9229	0.9319	0.9214	147.63	149.22	147.2	88.41	89.65	88.21	1.6693	1.6756	1.6626	0.738	0.743	0.736
2010-01-18	1.4386	1.4401	1.4336	90.76	91.05	90.63	1.0245	1.0291	1.0235	1.6326	1.6378	1.6252	1.0253	1.0313	1.0249	0.881	0.8833	0.8783	130.57	130.95	130.1	1.4739	1.4778	1.4732	0.9264	0.9279	0.9172	148.16	148.9	147.56	88.58	88.76	88.22	1.6725	1.6791	1.671	0.739	0.7402	0.7331
2010-01-19	1.4304	1.4413	1.4253	91.07	91.26	90.32	1.0311	1.0356	1.0231	1.6372	1.6457	1.6313	1.0302	1.0348	1.0251	0.8733	0.8811	0.8713	130.3	130.72	129.66	1.4748	1.4782	1.4732	0.9245	0.9281	0.9176	149.17	149.47	148.02	88.33	88.63	87.81	1.6883	1.6941	1.6735	0.739	0.7408	0.7336
2010-01-20	1.4102	1.4296	1.4081	91.23	91.46	90.8	1.0439	1.0462	1.0315	1.6287	1.6371	1.6244	1.0475	1.049	1.0305	0.8657	0.8738	0.8649	128.66	130.35	128.42	1.4722	1.4772	1.4723	0.9086	0.9242	0.9072	148.6	149.25	147.59	87.38	88.34	86.99	1.7006	1.7036	1.6882	0.72	0.7363	0.7187
2010-01-21	1.4098	1.4143	1.4028	90.36	91.87	90.12	1.0416	1.0495	1.0405	1.6208	1.6311	1.6126	1.0502	1.0524	1.044	0.8696	0.8724	0.8655	127.4	129.51	127.06	1.4689	1.4759	1.4676	0.9035	0.9146	0.9017	146.43	149.09	146.12	86.71	87.97	86.43	1.6891	1.7017	1.6869	0.7124	0.7233	0.7114
2010-01-22	1.414	1.4181	1.4068	89.87	90.56	89.79	1.0411	1.0445	1.0376	1.611	1.6284	1.6079	1.058	1.0602	1.0466	0.8776	0.8785	0.8688	127.09	128.18	126.58	1.4724	1.4747	1.4671	0.9013	0.9092	0.8984	144.8	147.21	144.67	86.31	87.16	86.22	1.6773	1.6929	1.675	0.7104	0.7178	0.7093
2010-01-25	1.4153	1.4197	1.4129	90.21	90.34	89.82	1.0392	1.0426	1.0367	1.6232	1.626	1.6092	1.0576	1.0612	1.0534	0.8719	0.8797	0.8704	127.7	128.14	127.09	1.4713	1.4744	1.4708	0.9046	0.9092	0.9015	146.46	146.73	144.72	86.8	87.05	86.29	1.687	1.6901	1.6735	0.7142	0.717	0.7114
2010-01-26	1.4076	1.4179	1.4043	89.66	90.55	89.35	1.0458	1.0491	1.038	1.614	1.6268	1.6094	1.0619	1.0692	1.0547	0.8718	0.8753	0.8668	126.23	128.36	125.69	1.4725	1.4741	1.4701	0.8984	0.9084	0.8939	144.75	147.29	144.11	85.71	87.21	85.31	1.6886	1.6975	1.6809	0.7074	0.717	0.7023
2010-01-27	1.4018	1.4096	1.3994	89.96	90.08	89.15	1.0499	1.0526	1.0447	1.6158	1.6244	1.6109	1.0645	1.0688	1.061	0.8672	0.8731	0.8658	126.11	126.4	125.25	1.472	1.4744	1.4708	0.8935	0.9045	0.8912	145.34	145.71	143.66	85.65	85.82	85.09	1.6968	1.7006	1.686	0.7047	0.7106	0.7031
2010-01-28	1.3971	1.4052	1.3938	89.85	90.55	89.65	1.0515	1.0554	1.0478	1.6128	1.6276	1.6114	1.0656	1.0667	1.0558	0.8663	0.8676	0.8602	125.55	127.08	125.12	1.4694	1.4742	1.469	0.8945	0.9047	0.8931	144.93	147.21	144.67	85.42	86.3	85.1	1.6961	1.7114	1.6948	0.7047	0.7137	0.7039
2010-01-29	1.3867	1.3989	1.3863	90.27	90.92	89.59	1.0604	1.0641	1.0483	1.6	1.6179	1.5987	1.0685	1.0695	1.0624	0.8664	0.8693	0.863	125.2	126.68	124.82	1.4705	1.4762	1.4635	0.8856	0.8961	0.8849	144.46	146.26	144.3	85.12	86.38	85.03	1.6966	1.7029	1.6872	0.7016	0.7088	0.7017
2010-02-01	1.3926	1.3935	1.3854	90.64	90.94	89.81	1.0567	1.0625	1.0565	1.5959	1.5978	1.5851	1.0622	1.072	1.0622	0.8725	0.8769	0.8684	126.24	126.52	124.52	1.4718	1.4737	1.47	0.8909	0.8915	0.8787	144.68	144.86	143.06	85.79	85.92	84.71	1.6865	1.6957	1.679	0.7085	0.7094	0.6995
2010-02-02	1.3963	1.3974	1.3887	90.34	90.91	90.27	1.0547	1.0607	1.0542	1.5978	1.5995	1.5904	1.0581	1.064	1.0567	0.8735	0.8763	0.8707	126.16	126.68	125.84	1.4731	1.4744	1.4694	0.8865	0.8927	0.878	144.35	145.19	143.89	85.62	86.03	85.45	1.6858	1.6901	1.6805	0.7122	0.7127	0.7039
2010-02-03	1.3903	1.4026	1.3891	90.94	91.28	90.09	1.0586	1.06	1.0497	1.5904	1.6069	1.5888	1.0614	1.063	1.0547	0.874	0.877	0.8711	126.41	126.97	125.99	1.4716	1.4754	1.4713	0.8834	0.8915	0.8815	144.61	145.28	144.25	85.89	86.2	85.49	1.6837	1.6929	1.6807	0.7082	0.7152	0.7069
2010-02-04	1.3738	1.3903	1.3729	88.9	91.07	88.58	1.0657	1.0674	1.0578	1.575	1.5918	1.5733	1.0722	1.0752	1.0598	0.872	0.8759	0.8713	122.13	126.46	121.62	1.4643	1.4723	1.4641	0.8648	0.883	0.8608	140.03	144.78	139.39	83.38	85.99	83	1.6789	1.6868	1.6757	0.6874	0.7027	0.6848
2010-02-05	1.3652	1.3746	1.3586	89.33	89.89	88.84	1.0735	1.0794	1.0647	1.5623	1.5775	1.556	1.0713	1.078	1.0647	0.8737	0.8756	0.8688	121.98	123.32	120.72	1.4659	1.4809	1.4563	0.8657	0.8717	0.8578	139.58	141.42	138.29	83.2	84.22	82.35	1.6775	1.701	1.6755	0.6866	0.6931	0.6808
2010-02-08	1.3659	1.3714	1.3622	89.28	89.56	89.15	1.0724	1.0772	1.0685	1.5604	1.566	1.5536	1.0744	1.0746	1.0658	0.8754	0.8802	0.873	121.98	122.78	121.57	1.4649	1.4692	1.4645	0.8644	0.8708	0.8641	139.3	139.93	138.65	83.25	83.67	82.87	1.6733	1.6809	1.6682	0.683	0.6921	0.6829
2010-02-09	1.378	1.3839	1.3644	89.63	89.8	89.17	1.0648	1.0747	1.0609	1.5697	1.5747	1.5563	1.0675	1.0775	1.0647	0.8777	0.8818	0.8753	123.46	124.18	121.66	1.4672	1.4707	1.4638	0.8774	0.8797	0.8617	140.68	141.25	138.82	84.17	84.57	83.03	1.6714	1.6755	1.6636	0.6948	0.6967	0.6819
2010-02-10	1.3732	1.3815	1.3678	89.93	90.06	89.25	1.0679	1.072	1.0618	1.5583	1.5765	1.5572	1.0625	1.0707	1.0599	0.8811	0.882	0.8744	123.52	124.28	122.69	1.4669	1.4692	1.4645	0.8751	0.8796	0.8708	140.16	141.43	139.46	84.2	84.59	83.7	1.6644	1.6788	1.6625	0.6928	0.6968	0.6895
2010-02-11	1.3681	1.3801	1.3596	89.73	90.14	89.58	1.0707	1.0783	1.0627	1.5694	1.5718	1.5559	1.0508	1.0631	1.0482	0.8716	0.8844	0.8701	122.75	124.15	122.07	1.4655	1.4679	1.4646	0.8906	0.892	0.875	140.78	141.02	139.65	83.76	84.65	83.26	1.6804	1.6845	1.659	0.7005	0.7022	0.6915
2010-02-12	1.3609	1.3696	1.3533	90	90.43	89.6	1.077	1.0829	1.0698	1.567	1.5741	1.5582	1.0513	1.0578	1.049	0.8684	0.8726	0.8656	122.5	123.09	121.39	1.4659	1.4697	1.4626	0.8864	0.8915	0.8784	141.02	141.89	139.82	83.56	84.03	82.86	1.6876	1.6954	1.6782	0.6955	0.6994	0.6898
2010-02-15	1.3597	1.3634	1.358	89.96	90.23	89.92	1.0776	1.0803	1.0752	1.5662	1.572	1.5613	1.0489	1.0532	1.0465	0.8676	0.8703	0.867	122.31	122.87	122.25	1.4651	1.468	1.4624	0.8891	0.8909	0.8848	140.86	141.39	140.74	83.47	83.81	83.38	1.6871	1.691	1.6845	0.6978	0.6989	0.6956
2010-02-16	1.3765	1.3779	1.3589	90.13	90.51	89.72	1.0659	1.0789	1.0654	1.5786	1.5796	1.5629	1.0431	1.0499	1.0411	0.8717	0.8745	0.8678	124.09	124.48	122.32	1.4676	1.4687	1.4637	0.9015	0.9027	0.8878	142.32	142.59	140.77	84.53	84.77	83.42	1.6832	1.6892	1.6783	0.7068	0.7079	0.6966
2010-02-17	1.3607	1.3789	1.3587	91.19	91.26	90.12	1.0776	1.0798	1.0648	1.5678	1.5816	1.5668	1.0453	1.047	1.0413	0.8676	0.8741	0.867	124.1	124.85	123.42	1.4667	1.4695	1.4667	0.8999	0.9037	0.8973	142.96	143.6	142.12	84.61	85.05	84.1	1.6896	1.6931	1.6803	0.7034	0.7079	0.7019
2010-02-18	1.3612	1.3653	1.354	91.23	91.48	90.59	1.0772	1.0826	1.0751	1.5618	1.5687	1.5558	1.0413	1.0497	1.0399	0.8715	0.8723	0.8662	124.22	124.46	122.77	1.4667	1.4686	1.4642	0.9021	0.9026	0.8939	142.51	143.05	141	84.67	84.84	83.8	1.6827	1.692	1.681	0.7058	0.7061	0.6987
2010-02-19	1.359	1.3607	1.3444	91.6	92.14	91.6	1.0769	1.0898	1.0763	1.5454	1.5549	1.535	1.0404	1.053	1.0389	0.8792	0.8798	0.8702	124.52	124.8	123.56	1.4641	1.4676	1.464	0.8982	0.8989	0.8879	141.6	142.67	140.93	85.04	85.22	84.34	1.6649	1.6842	1.6647	0.6983	0.6999	0.6931
2010-02-22	1.3597	1.3653	1.3574	91.1	91.9	91.02	1.076	1.0788	1.074	1.548	1.5519	1.5434	1.0427	1.044	1.0372	0.8781	0.8817	0.8762	123.85	125.25	123.65	1.4632	1.4665	1.4631	0.8993	0.9024	0.8974	141.03	142.18	140.83	84.65	85.46	84.45	1.666	1.6717	1.6614	0.7005	0.7037	0.6994
2010-02-23	1.35	1.3691	1.3497	90.16	91.29	89.93	1.0842	1.0848	1.0716	1.5407	1.5575	1.5395	1.0566	1.0578	1.0382	0.8761	0.8836	0.8751	121.75	124.55	121.59	1.4638	1.4684	1.4621	0.8884	0.9071	0.8879	138.94	141.67	138.76	83.17	84.92	83.03	1.6706	1.6737	1.6591	0.6906	0.7058	0.6896
2010-02-24	1.3532	1.3626	1.3503	90.2	90.37	89.78	1.0807	1.0843	1.074	1.5395	1.5476	1.5387	1.054	1.0592	1.0512	0.879	0.8813	0.8751	122.06	122.61	121.62	1.4629	1.4654	1.4627	0.893	0.8955	0.8858	138.84	139.59	138.4	83.42	83.75	83.09	1.6642	1.673	1.661	0.6928	0.6952	0.6871
2010-02-25	1.3558	1.3571	1.3452	89.07	90.32	88.81	1.0794	1.0878	1.0786	1.527	1.542	1.5191	1.0586	1.0679	1.0517	0.8876	0.8893	0.8773	120.75	122.3	119.66	1.4635	1.4646	1.4621	0.8885	0.8952	0.8802	136	139.23	134.99	82.5	83.55	81.8	1.6478	1.6684	1.6461	0.6906	0.6945	0.6848
2010-02-26	1.3613	1.3683	1.3531	88.91	89.5	88.75	1.0745	1.0816	1.0696	1.5246	1.5318	1.5151	1.0516	1.0618	1.0516	0.8927	0.8974	0.8869	121.05	121.65	120.52	1.4628	1.4646	1.4619	0.8962	0.898	0.8864	135.59	136.68	134.68	82.75	83.14	82.35	1.638	1.6501	1.6317	0.6985	0.7019	0.6907
2010-03-01	1.3558	1.3656	1.3461	89.07	89.48	88.83	1.079	1.087	1.072	1.4988	1.5203	1.4784	1.0415	1.0573	1.0411	0.9045	0.915	0.8968	120.77	121.91	120.09	1.4635	1.465	1.4621	0.9004	0.9015	0.8936	133.5	135.5	132.07	82.51	83.27	82.08	1.6178	1.6311	1.5989	0.6988	0.7016	0.6933
2010-03-02	1.3608	1.3622	1.3435	88.68	89.39	88.56	1.0748	1.0889	1.0747	1.4961	1.4999	1.4856	1.0364	1.0442	1.0311	0.9095	0.9102	0.902	120.71	121.33	119.78	1.4631	1.4652	1.4614	0.9033	0.9059	0.896	132.71	133.75	132.51	82.48	82.93	81.89	1.6088	1.6228	1.6077	0.6959	0.7004	0.6926
2010-03-03	1.3701	1.3736	1.3594	88.4	88.99	88.33	1.0671	1.0763	1.0648	1.5104	1.513	1.496	1.0309	1.0365	1.0274	0.9069	0.9102	0.9051	121.14	121.74	120.62	1.4626	1.4643	1.4611	0.9054	0.9085	0.9009	133.55	134.01	132.78	82.82	83.18	82.45	1.6124	1.6165	1.6074	0.6932	0.6986	0.6895
2010-03-04	1.3587	1.3712	1.3552	89.05	89.25	88.15	1.0763	1.0795	1.067	1.5035	1.5136	1.5006	1.0309	1.0339	1.0272	0.9036	0.9084	0.9017	121.05	121.81	120.31	1.4626	1.4641	1.462	0.901	0.9062	0.898	133.94	134.81	132.6	82.74	83.23	82.24	1.618	1.6225	1.6103	0.6862	0.6956	0.6853
2010-03-05	1.3624	1.3629	1.3529	90.33	90.58	88.99	1.0738	1.0809	1.0735	1.5146	1.5166	1.4994	1.0293	1.0331	1.0261	0.8993	0.9048	0.8982	123.05	123.32	120.9	1.4632	1.4649	1.4616	0.9083	0.9092	0.8986	136.82	137.05	133.81	84.1	84.29	82.65	1.6262	1.6292	1.6167	0.6973	0.6973	0.6856
2010-03-08	1.363	1.3704	1.3606	90.3	90.68	90.16	1.0738	1.0748	1.0676	1.506	1.5195	1.5032	1.0278	1.0293	1.0253	0.9049	0.9073	0.8997	123.09	123.89	122.83	1.4629	1.4644	1.4621	0.9091	0.9133	0.9077	135.98	137.37	135.69	84.11	84.68	83.98	1.6166	1.6266	1.6125	0.6999	0.7036	0.6949
2010-03-09	1.3599	1.3635	1.3537	89.97	90.33	89.63	1.0749	1.0806	1.0727	1.4992	1.5067	1.4938	1.026	1.032	1.0237	0.9068	0.9097	0.9047	122.35	123.14	121.47	1.4619	1.4638	1.4618	0.9135	0.9147	0.9056	134.91	136.07	133.97	83.68	84.17	83.05	1.6115	1.6173	1.6079	0.7025	0.7036	0.6963
2010-03-10	1.3641	1.3679	1.3546	90.52	90.82	89.85	1.0709	1.0794	1.0687	1.496	1.5016	1.4874	1.0261	1.0291	1.0219	0.9118	0.9134	0.9062	123.48	124.01	121.9	1.4608	1.4634	1.4607	0.9141	0.9193	0.9127	135.38	135.89	133.93	84.51	84.83	83.36	1.6021	1.6136	1.6005	0.7019	0.7097	0.7014
2010-03-11	1.3677	1.3687	1.362	90.54	90.71	90.22	1.0686	1.0731	1.068	1.5058	1.5066	1.4948	1.0234	1.0321	1.0231	0.9082	0.9121	0.9064	123.87	123.9	123.03	1.4617	1.4631	1.4597	0.915	0.9169	0.9113	136.35	136.49	134.93	84.73	84.83	84.22	1.6093	1.612	1.6017	0.7004	0.7025	0.6966
2010-03-12	1.3758	1.3796	1.367	90.45	91.08	90.18	1.058	1.0696	1.0578	1.5181	1.5217	1.5028	1.0179	1.0251	1.0157	0.9061	0.9111	0.9045	124.47	125.2	123.7	1.4563	1.4625	1.4563	0.9156	0.9194	0.9141	137.32	138.07	136.12	85.44	85.84	84.6	1.6069	1.612	1.6037	0.701	0.7049	0.6986
2010-03-15	1.3671	1.3776	1.3641	90.51	90.8	90.36	1.0621	1.0642	1.0578	1.505	1.5207	1.5021	1.0194	1.0232	1.0165	0.9083	0.9128	0.9047	123.76	124.96	123.31	1.4523	1.4582	1.4508	0.9142	0.9179	0.9096	136.23	137.94	135.84	85.19	85.74	84.97	1.5986	1.6094	1.5918	0.7016	0.7054	0.6988
2010-03-16	1.3778	1.3783	1.3657	90.24	90.73	89.99	1.0535	1.0625	1.0535	1.5257	1.5259	1.4979	1.0139	1.0202	1.0137	0.903	0.9121	0.9012	124.33	124.6	123.24	1.4516	1.4537	1.4503	0.919	0.9192	0.912	137.65	137.88	135.22	85.63	85.8	84.9	1.6071	1.6096	1.5909	0.7097	0.7103	0.7012
2010-03-17	1.3738	1.3817	1.3727	90.25	90.71	90.04	1.0543	1.0566	1.0508	1.5323	1.538	1.521	1.0099	1.0146	1.0072	0.8963	0.9066	0.8953	123.98	125.06	123.93	1.4484	1.4536	1.4475	0.9227	0.9251	0.9175	138.28	139.32	137.13	85.59	86.14	85.42	1.6152	1.6209	1.6023	0.714	0.7178	0.7105
2010-03-18	1.3612	1.3742	1.3587	90.29	90.8	89.77	1.0571	1.0646	1.0525	1.5246	1.5328	1.5218	1.013	1.0143	1.0091	0.8927	0.8973	0.8917	122.87	124.27	122.66	1.4392	1.4488	1.4356	0.9214	0.9242	0.9181	137.6	138.58	137.06	85.38	85.88	84.78	1.6118	1.6219	1.6081	0.7151	0.7174	0.712
2010-03-19	1.3531	1.3626	1.3502	90.52	90.71	90.34	1.0601	1.0634	1.054	1.5014	1.5255	1.499	1.0168	1.0187	1.0063	0.9012	0.9019	0.8922	122.52	123.34	122.26	1.4349	1.4407	1.4318	0.9154	0.9224	0.913	135.9	138.08	135.66	85.37	85.85	85.1	1.5918	1.6134	1.5905	0.708	0.7158	0.7066
2010-03-22	1.3549	1.3568	1.3464	90.13	90.77	89.84	1.0582	1.0661	1.0564	1.5093	1.5098	1.4934	1.019	1.0243	1.0149	0.8977	0.9045	0.8971	122.13	122.62	121.08	1.4339	1.4376	1.4308	0.9175	0.9181	0.9086	136.03	136.17	134.58	85.16	85.58	84.36	1.5972	1.5989	1.5853	0.7066	0.7072	0.7003
2010-03-23	1.35	1.3569	1.3477	90.41	90.47	90.07	1.0567	1.0638	1.0548	1.5044	1.5112	1.4974	1.0154	1.0228	1.0153	0.8971	0.9018	0.8966	122.07	122.6	121.77	1.4272	1.4371	1.4263	0.919	0.9198	0.9137	136.01	136.52	135.27	85.53	85.63	84.9	1.5901	1.6019	1.5869	0.7072	0.7079	0.7031
2010-03-24	1.3331	1.3501	1.3321	92.13	92.23	90.36	1.0722	1.0732	1.0561	1.4889	1.5041	1.4871	1.0233	1.0281	1.0159	0.8953	0.8981	0.8908	122.82	123.06	121.43	1.4297	1.4306	1.4231	0.9089	0.9196	0.9075	137.15	137.45	135.52	85.89	86.25	85.15	1.5965	1.6028	1.5868	0.7026	0.7063	0.6997
2010-03-25	1.328	1.3386	1.3269	92.69	92.95	91.77	1.0736	1.0751	1.0675	1.4815	1.4987	1.48	1.0245	1.0253	1.0172	0.8962	0.8994	0.8898	123.12	123.94	122.29	1.426	1.4298	1.4254	0.9073	0.9141	0.9072	137.34	138.11	136.68	86.33	86.73	85.69	1.5907	1.6044	1.5893	0.7026	0.7102	0.7017
2010-03-26	1.3423	1.3425	1.3268	92.48	92.89	92.31	1.065	1.0745	1.0638	1.4899	1.4923	1.4808	1.0264	1.0302	1.0207	0.9006	0.9025	0.8957	124.13	124.19	122.98	1.4297	1.4314	1.4256	0.904	0.9116	0.9002	137.8	138.04	137.09	86.82	86.99	86.22	1.5864	1.5956	1.583	0.7038	0.7092	0.7017
2010-03-29	1.3477	1.3506	1.342	92.46	92.78	92.36	1.0623	1.069	1.0593	1.498	1.5019	1.4894	1.0205	1.0271	1.0177	0.8995	0.9021	0.8972	124.64	125.08	124.1	1.4318	1.4356	1.4282	0.9175	0.9176	0.9035	138.5	139.11	137.71	87.03	87.44	86.67	1.5911	1.5959	1.5839	0.7094	0.7116	0.7037
2010-03-30	1.3413	1.3539	1.3396	92.82	93.02	92.13	1.0663	1.0681	1.0587	1.5066	1.5125	1.4975	1.019	1.0223	1.0159	0.8902	0.9	0.888	124.51	125.44	124.19	1.4305	1.4343	1.43	0.9182	0.9215	0.916	139.82	140.54	138.06	87.02	87.52	86.7	1.6064	1.6115	1.5912	0.709	0.7132	0.7083
2010-03-31	1.351	1.3548	1.3385	93.5	93.63	92.76	1.0538	1.0683	1.049	1.5177	1.5203	1.5044	1.0152	1.02	1.0131	0.8901	0.8945	0.8871	126.33	126.54	124.45	1.4238	1.4321	1.4209	0.9173	0.9206	0.9132	141.88	142.02	139.8	88.71	89.04	86.99	1.5995	1.6123	1.593	0.7099	0.7115	0.7072
2010-04-01	1.3585	1.3587	1.3458	93.84	94.04	93.29	1.0537	1.0609	1.0437	1.5287	1.5303	1.5174	1.0079	1.0161	1.0068	0.8886	0.8903	0.8842	127.51	127.54	125.97	1.4318	1.4412	1.4142	0.9199	0.9218	0.9152	143.48	143.67	141.78	89.03	89.99	88.48	1.6108	1.6218	1.5951	0.7071	0.7111	0.7036
2010-04-02	1.3485	1.3591	1.3483	94.63	94.69	93.66	1.0635	1.0639	1.054	1.5192	1.5296	1.5183	1.0096	1.0129	1.0084	0.8875	0.8898	0.8873	127.63	127.9	126.91	1.4346	1.435	1.4311	0.9187	0.9214	0.9184	143.77	143.95	142.86	88.94	89.23	88.67	1.616	1.6165	1.6098	0.7057	0.7083	0.7053
2010-04-05	1.3479	1.3538	1.3461	94.33	94.76	94.09	1.0623	1.0644	1.0584	1.5279	1.5319	1.5222	1.003	1.0088	1.0012	0.882	0.8861	0.8815	127.14	127.82	126.95	1.4321	1.4336	1.4313	0.9206	0.9221	0.9189	144.13	144.72	143.79	88.78	89.25	88.64	1.6234	1.6249	1.6162	0.7027	0.7072	0.7022
2010-04-06	1.3402	1.3496	1.3356	93.73	94.37	93.67	1.0684	1.0722	1.0616	1.527	1.5306	1.5131	1.0008	1.0047	0.9989	0.8772	0.8859	0.8766	125.64	127.35	125.38	1.4321	1.433	1.4316	0.9279	0.9288	0.9166	143.14	144.41	142.09	87.71	88.89	87.55	1.632	1.6338	1.6165	0.7062	0.7073	0.6965
2010-04-07	1.3351	1.3408	1.3327	93.25	94.26	93.16	1.073	1.0745	1.0681	1.5245	1.5286	1.514	1.0047	1.0057	0.9979	0.8756	0.8819	0.8752	124.49	126.15	124.49	1.4331	1.4351	1.4317	0.9269	0.9297	0.9249	142.12	143.83	141.81	86.86	88.08	86.85	1.6365	1.6379	1.6241	0.7068	0.7094	0.7028
2010-04-08	1.3348	1.3366	1.3282	93.35	93.48	92.84	1.0735	1.0786	1.0716	1.5265	1.5278	1.5143	1.0027	1.0104	1.002	0.8742	0.8784	0.8738	124.6	124.84	123.45	1.433	1.4342	1.4317	0.9278	0.9291	0.9225	142.52	142.81	140.99	86.93	87.1	86.19	1.6387	1.6404	1.6308	0.7061	0.7074	0.7008
2010-04-09	1.3492	1.3494	1.3341	93.16	93.78	93.12	1.0655	1.0765	1.0656	1.5367	1.5391	1.5269	1.0036	1.0083	0.9992	0.8777	0.8782	0.8707	125.72	125.8	124.71	1.438	1.4396	1.4327	0.9324	0.9344	0.9267	143.19	144.32	142.63	87.42	87.72	86.93	1.6376	1.6514	1.6371	0.7151	0.7174	0.7068
